"set";"pvalue";"beta_gender_male";"beta_ethnicity_other";"beta_ethnicity_afam";"beta_score";"beta_fcollege_no";"beta_mcollege_no";"beta_home_no";"beta_urban_no";"beta_unemp";"beta_wage";"sd_gender_male";"sd_ethnicity_other";"sd_ethnicity_afam";"sd_score";"sd_fcollege_no";"sd_mcollege_no";"sd_home_no";"sd_urban_no";"sd_unemp";"sd_wage"
"433";"0.01";"0";"0.186";"0";"0";"0";"-0.545";"-0.138";"0";"0.002";"0";"0.028";"0.03";"0";"0";"0";"0.042";"0.037";"0";"0.005";"0"
"434";"0.01";"0";"0.186";"0";"0";"0";"-0.544";"-0.138";"0";"0";"-0.002";"0.028";"0.031";"0";"0";"0";"0.041";"0.037";"0";"0";"0.011"
"435";"0.008";"0.004";"0.202";"0";"0";"0";"-0.553";"0";"-0.003";"0.002";"0";"0.029";"0.03";"0";"0";"0";"0.042";"0";"0.034";"0.005";"0"
"436";"0.001";"0.004";"0.202";"0";"0";"0";"-0.552";"0";"-0.002";"0";"0";"0.029";"0.031";"0";"0";"0";"0.041";"0";"0.034";"0";"0.011"
"437";"0";"0.004";"0.202";"0";"0";"0";"-0.553";"0";"0";"0.002";"-0.001";"0.029";"0.03";"0";"0";"0";"0.042";"0";"0";"0.005";"0.011"
"438";"0";"0.006";"0.222";"0";"0";"0";"0";"-0.163";"-0.005";"-0.004";"0";"0.029";"0.031";"0";"0";"0";"0";"0.038";"0.035";"0.005";"0"
"439";"0";"0.006";"0.224";"0";"0";"0";"0";"-0.163";"-0.006";"0";"-0.002";"0.029";"0.032";"0";"0";"0";"0";"0.038";"0.035";"0";"0.011"
"440";"0.002";"0.006";"0.221";"0";"0";"0";"0";"-0.162";"0";"-0.004";"0";"0.029";"0.031";"0";"0";"0";"0";"0.038";"0";"0.005";"0.011"
"441";"0.007";"0.01";"0.239";"0";"0";"0";"0";"0";"0.006";"-0.004";"0.002";"0.029";"0.031";"0";"0";"0";"0";"0";"0.035";"0.005";"0.011"
"442";"0.006";"-0.053";"0";"0.043";"0.04";"-0.273";"-0.251";"0";"0";"0";"0";"0.027";"0";"0.037";"0.002";"0.037";"0.043";"0";"0";"0";"0"
"443";"0.006";"-0.055";"0";"0.062";"0.041";"-0.358";"0";"-0.068";"0";"0";"0";"0.027";"0";"0.037";"0.002";"0.034";"0";"0.035";"0";"0";"0"
"444";"0";"-0.054";"0";"0.051";"0.041";"-0.361";"0";"0";"-0.023";"0";"0";"0.027";"0";"0.038";"0.002";"0.034";"0";"0";"0.032";"0";"0"
"445";"0.009";"-0.053";"0";"0.058";"0.041";"-0.363";"0";"0";"0";"0.004";"0";"0.027";"0";"0.037";"0.002";"0.034";"0";"0";"0";"0.005";"0"
"446";"0.009";"-0.053";"0";"0.049";"0.041";"-0.36";"0";"0";"0";"0";"-0.017";"0.027";"0";"0.037";"0.002";"0.034";"0";"0";"0";"0";"0.01"
"447";"0.01";"-0.051";"0";"0.036";"0.042";"0";"-0.376";"-0.07";"0";"0";"0";"0.027";"0";"0.037";"0.002";"0";"0.039";"0.035";"0";"0";"0"
"448";"0.007";"-0.05";"0";"0.025";"0.042";"0";"-0.38";"0";"-0.021";"0";"0";"0.027";"0";"0.038";"0.002";"0";"0.039";"0";"0.032";"0";"0"
"449";"0.009";"-0.049";"0";"0.03";"0.042";"0";"-0.381";"0";"0";"0.003";"0";"0.027";"0";"0.037";"0.002";"0";"0.039";"0";"0";"0.005";"0"
"450";"0.005";"-0.049";"0";"0.022";"0.042";"0";"-0.379";"0";"0";"0";"-0.017";"0.027";"0";"0.037";"0.002";"0";"0.039";"0";"0";"0";"0.01"
"451";"0.007";"-0.05";"0";"0.048";"0.045";"0";"0";"-0.086";"-0.019";"0";"0";"0.027";"0";"0.038";"0.002";"0";"0";"0.035";"0.032";"0";"0"
"452";"0.006";"-0.05";"0";"0.051";"0.045";"0";"0";"-0.085";"0";"-0.001";"0";"0.027";"0";"0.038";"0.002";"0";"0";"0.035";"0";"0.005";"0"
"453";"0.007";"-0.049";"0";"0.044";"0.045";"0";"0";"-0.087";"0";"0";"-0.018";"0.027";"0";"0.038";"0.002";"0";"0";"0.035";"0";"0";"0.01"
"454";"0.008";"-0.048";"0";"0.039";"0.045";"0";"0";"0";"-0.013";"-0.001";"0";"0.027";"0";"0.038";"0.002";"0";"0";"0";"0.032";"0.005";"0"
"455";"0.008";"-0.047";"0";"0.033";"0.046";"0";"0";"0";"-0.013";"0";"-0.017";"0.027";"0";"0.038";"0.002";"0";"0";"0";"0.032";"0";"0.01"
"456";"0.007";"-0.047";"0";"0.036";"0.046";"0";"0";"0";"0";"0.001";"-0.017";"0.027";"0";"0.038";"0.002";"0";"0";"0";"0";"0.005";"0.01"
"457";"0";"-0.014";"0";"-0.188";"0";"-0.419";"-0.355";"-0.127";"0";"0";"0";"0.028";"0";"0.038";"0";"0.038";"0.045";"0.037";"0";"0";"0"
"458";"0.001";"-0.011";"0";"-0.204";"0";"-0.425";"-0.361";"0";"-0.005";"0";"0";"0.028";"0";"0.039";"0";"0.038";"0.045";"0";"0.034";"0";"0"
"459";"0.01";"-0.01";"0";"-0.202";"0";"-0.427";"-0.363";"0";"0";"0.004";"0";"0.028";"0";"0.038";"0";"0.039";"0.045";"0";"0";"0.005";"0"
"460";"0";"-0.011";"0";"-0.202";"0";"-0.424";"-0.361";"0";"0";"0";"0.003";"0.028";"0";"0.038";"0";"0.038";"0.045";"0";"0";"0";"0.011"
"461";"0.001";"-0.013";"0";"-0.18";"0";"-0.549";"0";"-0.139";"-0.009";"0";"0";"0.028";"0";"0.039";"0";"0.035";"0";"0.037";"0.034";"0";"0"
"462";"0";"-0.013";"0";"-0.177";"0";"-0.55";"0";"-0.138";"0";"0.002";"0";"0.028";"0";"0.038";"0";"0.035";"0";"0.037";"0";"0.005";"0"
"463";"0";"-0.013";"0";"-0.177";"0";"-0.548";"0";"-0.138";"0";"0";"0.002";"0.028";"0";"0.039";"0";"0.035";"0";"0.037";"0";"0";"0.011"
"464";"0.001";"-0.01";"0";"-0.194";"0";"-0.558";"0";"0";"0";"0.002";"0";"0.028";"0";"0.039";"0";"0.035";"0";"0";"0.034";"0.005";"0"
"465";"0.009";"-0.01";"0";"-0.193";"0";"-0.557";"0";"0";"0";"0";"0.003";"0.028";"0";"0.039";"0";"0.035";"0";"0";"0.034";"0";"0.011"
