"ID";"target";"eta_df";"multiplic";"shift";"epsilon_df";"meanshift";"strength";"F_id";"N";"pvSet_1";"pvSet_2";"pvSet_3";"pvSet_4";"pvSet_5";"pvSet_6";"pvSet_7";"pvSet_8";"pvSet_9";"pvSet_10";"pvSet_11";"pvSet_12";"pvSet_13";"pvSet_14";"pvSet_15";"pvSet_16";"pvSet_17";"pvSet_18";"pvSet_19";"pvSet_20";"pvSet_21";"pvSet_22";"pvSet_23";"pvSet_24";"pvSet_25";"pvSet_26";"pvSet_27";"pvSet_28";"pvSet_29";"pvSet_30";"pvSet_31"
"v-335775";"Z_6";"10";"product";"TRUE";"10";"10";"10";"square";"100";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"g-258986";"Z_2";"5";"sum";"TRUE";"5";"0.2";"0.2";"cubic";"100";"1.4195";"1.2682";"1.2919";"0.5626";"1.2916";"1.2476";"1.3312";"1.4595";"1.3321";"1.0179";"1.2347";"1.0237";"1.2598";"1.579";"1.2595";"0.7984";"1.2364";"0.797";"1.314";"0.6525";"1.3149";"1.0634";"0.9789";"1.0683";"1.5744";"0.8143";"0.7117";"0.8127";"0.6502";"1.0475";"0.719"
"x-837873";"Z_4";"100";"product";"TRUE";"100";"10";"0.2";"log";"100";"0";"0";"0.3826";"0";"0.6828";"0";"0.6562";"0";"0.0012";"0.3842";"0";"0.0149";"0.2911";"0.5568";"0.0441";"1.0728";"0";"0.1056";"0.5351";"0.6216";"0.0411";"0.2933";"0.5351";"0.0144";"0.5756";"1.0488";"1.0046";"0.0335";"0.5999";"0.5504";"0.9966"
"e-653587";"Z_3";"3";"product";"FALSE";"3";"0.1";"2";"square";"100";"1.0564";"0.65";"0.958";"1.0136";"0.9766";"0.7117";"1.0879";"0.9856";"1.0661";"0.2042";"0.7117";"1.004";"0.7117";"1.0181";"1.1235";"0.5465";"0.4459";"0.9843";"0.9353";"1.0943";"1.0461";"0.4459";"0.965";"1.1257";"1.1378";"0.3923";"0.9353";"0.6374";"1.0662";"1.161";"0.7913"
"a-490691";"Z_3";"3";"sum";"TRUE";"3";"0";"0.2";"softplus";"100";"3e-04";"2e-04";"1e-04";"2e-04";"7e-04";"0.0032";"2e-04";"3e-04";"7e-04";"1e-04";"2e-04";"7e-04";"1e-04";"3e-04";"0.1866";"0.0014";"0.0028";"0.0056";"2e-04";"5e-04";"0.095";"1e-04";"4e-04";"0.1703";"0.1044";"0.0012";"0.0026";"0.1715";"0.0401";"0.0954";"0.0782"
"r-311583";"Z_5";"5";"sum";"TRUE";"5";"10";"0";"log";"100";"0.0473";"0.0524";"0.0444";"0.0453";"0.2858";"0.0199";"0.0426";"0.0417";"0.789";"0.04";"0.0352";"0.5831";"0.0391";"0.4001";"0.1896";"0.0218";"0.0223";"0.9607";"0.04";"0.4873";"0.4751";"0.0383";"0.361";"0.2719";"0.4288";"0.0223";"0.4888";"0.3589";"0.5146";"0.4322";"0.4953"
"r-785090";"Z_1";"3";"sum";"FALSE";"3";"0.5";"5";"cubic";"100";"0.2441";"0.2624";"0.2226";"0.125";"0.2509";"0.081";"0.2179";"0.1894";"0.2036";"0.3067";"0.26";"0.316";"0.2264";"0.1015";"0.2509";"0.0791";"0.0496";"0.0837";"0.1682";"0.2042";"0.1553";"0.3107";"0.1969";"0.3137";"0.116";"0.0484";"0.0811";"0.0519";"0.155";"0.2086";"0.0494"
"i-643417";"Z_1";"10";"product";"TRUE";"10";"10";"5";"softplus";"100";"0.5932";"0.6262";"0.6272";"0.619";"0.6239";"0.5779";"0.5755";"0.5909";"0.5884";"0.6252";"0.5879";"0.5982";"0.5713";"0.6077";"0.6116";"0.5767";"0.5547";"0.5678";"0.5416";"0.5741";"0.5743";"0.5659";"0.5806";"0.9238";"0.5897";"0.5334";"0.5519";"0.8918";"0.5552";"1.0514";"1.0173"
"w-153923";"Z_1";"50";"product";"TRUE";"50";"2";"10";"cubic";"100";"1.8049";"1.3176";"1.3014";"1.6117";"1.3063";"1.2626";"1.5146";"1.9111";"1.5263";"1.5147";"1.3662";"1.4856";"1.3552";"1.1614";"1.3604";"0.8431";"1.6248";"0.8613";"1.7514";"1.1268";"1.7546";"1.5515";"1.4312";"1.5232";"1.2007";"1.3676";"0.5549";"1.3867";"1.5857";"1.2361";"1.0213"
"g-720957";"Z_4";"100";"sum";"FALSE";"100";"0.1";"2";"square";"100";"0.0085";"0.0376";"0.0015";"0.0074";"0.0104";"0.0268";"0.0011";"0.0091";"0.0112";"0.0869";"0.0367";"0.0454";"0.002";"2e-04";"0.0107";"0.1409";"0.0259";"0.0304";"0.0014";"2e-04";"0.012";"0.1409";"0.0071";"0.0444";"5e-04";"0.2123";"0.0071";"0.0294";"3e-04";"0.0198";"0.0204"
